epoch,learning_rate,loss,val_loss
0,0.0005000000237487257,0.10293129086494446,0.09953034669160843
1,0.0005000000237487257,0.013099678792059422,0.011159414425492287
2,0.0005000000237487257,0.009623666293919086,0.009065533056855202
3,0.0005000000237487257,0.007781395222991705,0.007110602222383022
4,0.0005000000237487257,0.006528429687023163,0.0057120369747281075
5,0.0005000000237487257,0.005636774003505707,0.004762033000588417
6,0.0005000000237487257,0.004991569090634584,0.004091974347829819
7,0.0005000000237487257,0.004512085113674402,0.0036665378138422966
8,0.0005000000237487257,0.004143909085541964,0.0033869158942252398
9,0.0005000000237487257,0.003853476606309414,0.003205265384167433
10,0.0005000000237487257,0.003617611713707447,0.0030665546655654907
11,0.0005000000237487257,0.0034188947174698114,0.0029305526986718178
12,0.0005000000237487257,0.0032479530200362206,0.0027750132139772177
13,0.0005000000237487257,0.003099272958934307,0.0026140648405998945
14,0.0005000000237487257,0.0029710102826356888,0.0024660667404532433
15,0.0005000000237487257,0.0028585882391780615,0.0023358517792075872
16,0.0005000000237487257,0.0027604696806520224,0.002226507058367133
17,0.0005000000237487257,0.0026733141858130693,0.00213168328627944
18,0.0005000000237487257,0.002594740130007267,0.00205284939147532
19,0.0005000000237487257,0.002522720955312252,0.0019832097459584475
20,0.0005000000237487257,0.002455279463902116,0.0019212280167266726
21,0.0005000000237487257,0.0023928931914269924,0.001862095552496612
22,0.0005000000237487257,0.002335832454264164,0.001807413762435317
23,0.0005000000237487257,0.002284222049638629,0.0017588823102414608
24,0.0005000000237487257,0.00223750458098948,0.0017137161921709776
25,0.0005000000237487257,0.00219524372369051,0.0016729049384593964
26,0.0005000000237487257,0.0021569253876805305,0.0016358505235984921
27,0.0005000000237487257,0.0021222569048404694,0.0016019962495192885
28,0.0005000000237487257,0.0020904054399579763,0.0015698440838605165
29,0.0005000000237487257,0.002060636645182967,0.0015398201067000628
30,0.0005000000237487257,0.0020326743833720684,0.0015113784465938807
31,0.0005000000237487257,0.0020061589311808348,0.0014837899943813682
32,0.0005000000237487257,0.0019810085650533438,0.0014570440398529172
33,0.0005000000237487257,0.0019570887088775635,0.0014316244050860405
34,0.0005000000237487257,0.0019342581508681178,0.0014065190916880965
35,0.0005000000237487257,0.0019124943064525723,0.0013825958594679832
36,0.0005000000237487257,0.0018914182437583804,0.001359734684228897
37,0.0002500000118743628,0.0018681264482438564,0.0013299258425831795
38,0.0002500000118743628,0.0018580234609544277,0.0013198221568018198
39,0.0002500000118743628,0.0018466036999598145,0.0013120935764163733
40,0.0002500000118743628,0.0018367916345596313,0.0013051136629655957
41,0.0002500000118743628,0.0018271937733516097,0.0012986476067453623
42,0.0001250000059371814,0.0017882812535390258,0.001305862795561552
43,0.0001250000059371814,0.001787762506864965,0.001305847428739071
44,0.0001250000059371814,0.0017832149751484394,0.0013021836057305336
45,0.0001250000059371814,0.0017778201727196574,0.0012979513267055154
46,6.25000029685907e-05,0.0017665271880105138,0.0012710154987871647
47,6.25000029685907e-05,0.0017566572641953826,0.0012690017465502024
48,6.25000029685907e-05,0.0017540352419018745,0.0012671579606831074
49,6.25000029685907e-05,0.0017514098435640335,0.0012651500292122364
